Account,Airdrop,GnoOption,UserOption,Investor,Team,Advisor
0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,30092.51753,0,28467.04939,0,0,0
0xcc71b8a0b9ea458ae7e17fa232a36816f6b27195,30078.4171,724.2096653,28467.04939,0,0,0
0xbdeaf7d15c6d7a7a528f1870afcd3c57b101abf5,30074.14742,63.66434842,28467.04939,0,0,0
0xc9d486048a9b82172f6f2a2ce6d9024c9d1097dc,30073.64522,63.16215151,28467.04939,0,0,0
0x52e7bde89fcbd1e1c656db1c08dde45d82447e25,30055.12933,700.9218945,28467.04939,0,0,0
0x1e2ce0c1d8e9f7614dea6c3fa78e91d34247f380,30045.55691,35.07383484,28467.04939,0,0,0
0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b,30034.8223,24.33922891,28467.04939,0,0,0
0x0417926c1504f17892cff3b0d0feeda89c711fce,30010.48307,0,28467.04939,0,0,0
0x0478faec5bb44c02c3be28181de4d565ab139bbc,30010.48307,0,28467.04939,0,0,0
0x056590f16d5b314a132bbcfb1283fec5d5c6e670,30010.48307,0,28467.04939,0,0,0
0x07c2af75788814ba7e5225b2f5c951ed161cb589,30010.48307,0,28467.04939,0,0,0
0x0991d02f28a5283338e9591cbf7de2eb25da46cd,30010.48307,0,28467.04939,0,0,0
0x0d41f544b18b779389081833791c24ae5075b888,30010.48307,0,28467.04939,0,0,0
0x13ea124c50b0932902a3301c15bdc0342c10a874,30010.48307,0,28467.04939,0,0,0
0x14ce500a86f1e3ace039571e657783e069643617,30010.48307,0,28467.04939,0,0,0
0x1c0b104a9eeff2f7001348a49fa28b8a0d23d637,30010.48307,0,28467.04939,0,0,0
0x1fafb618033fb07d3a99704a47451971976cb586,30010.48307,0,28467.04939,0,0,0
0x239eec9ec218f71cef5cc14d88b142ed4ff44110,30010.48307,0,28467.04939,0,0,0
0x23be060093db74f38b1a3daf57afdc1a23db0077,30010.48307,0,28467.04939,0,0,0
0x2518e88e27169fc33e529d00d998d5a2b15a9584,30010.48307,0,28467.04939,0,0,0
0x27003ba96fbf876018ca6117acf338f0212c811f,30010.48307,0,28467.04939,0,0,0
0x286e89d827fd7ae42f96e87b21afe898768caa1c,30010.48307,0,28467.04939,0,0,0
0x2dab8fae6302789b3d73d486db7c8352cdf48bce,30010.48307,0,28467.04939,0,0,0
0x2de640a18fe3480aa802aca91f70177ada103391,30010.48307,0,28467.04939,0,0,0
0x37e5df37885a6d0b43bee9ec2997b1e0037fb490,30010.48307,0,28467.04939,0,0,0
0x383f42b5de515c564641f65f5da3bd8b4a35b4b4,30010.48307,0,28467.04939,0,0,0
0x39b2bd7b6362f5282b98a3f5cf779e2b3457f82b,30010.48307,0,28467.04939,0,0,0
0x42869a8455671c419bdcd1905f4966e6d305f216,30010.48307,0,28467.04939,0,0,0
0x42d02f4cd48bdac116b7e3a4895f586777948fae,30010.48307,0,28467.04939,0,0,0
0x44c2968c98bfae5bd451f2cc524ef3e7103bdcc7,30010.48307,0,28467.04939,0,0,0
0x46a0b4fa58141aba23185e79f7047a7dfd0ff100,30010.48307,0,28467.04939,0,0,0
0x49093dd406abfa8413b97b11f6dfbdc57134ab58,30010.48307,0,28467.04939,0,0,0
0x538ded4d0d461206ae8e0c021d5179d3a31d2b12,30010.48307,0,28467.04939,0,0,0
0x586208843e4b7078dbab9898f7b592e5987d3019,30010.48307,0,28467.04939,0,0,0
0x5edcf547ece0ea1765d6c02e9e5bae53b52e09d4,30010.48307,0,28467.04939,0,0,0
